GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
C. K-8 / 401 - 750,Monmouth,5230,Union Beach,98,50|63,0.007,66,40|63,0.004,49,31|63,0.003
C. K-8 / 401 - 750,Monmouth,5640,West Long Branch Boro,70,39|63,0.004,73,42|63,0.004,53,34|63,0.003
C. K-8 / 401 - 750,Morris,3090,Mendham Boro,31,18|63,0.002,92,49|63,0.005,71,44|63,0.003
C. K-8 / 401 - 750,Morris,3100,Mendham Twp,10,3|63,47E-5,5,1|63,25E-5,13,2|63,6E-4
C. K-8 / 401 - 750,Morris,3380,Morris Plains Boro,34,21|63,0.002,36,22|63,0.002,41,22|63,0.002
C. K-8 / 401 - 750,Morris,4480,Rockaway Boro,30,17|63,0.002,28,12|63,0.002,22,8|63,0.001
C. K-8 / 401 - 750,Morris,5770,Wharton Boro,8,2|63,48E-5,21,5|63,0.001,52,33|63,0.002
C. K-8 / 401 - 750,Passaic,420,Bloomingdale Boro,133,54|63,0.007,140,58|63,0.009,111,59|63,0.005
C. K-8 / 401 - 750,Passaic,3640,North Haledon Boro,28,14|63,0.002,53,31|63,0.003,41,22|63,0.002
C. K-8 / 401 - 750,Somerset,240,Bedminster Twp,54,36|63,0.003,55,33|63,0.003,94,53|63,0.004
C. K-8 / 401 - 750,Somerset,1810,Green Brook Twp,103,51|63,0.006,68,41|63,0.004,54,35|63,0.003
C. K-8 / 401 - 750,Somerset,4850,South Bound Brook,21,9|63,0.001,31,16|63,0.002,49,31|63,0.003
C. K-8 / 401 - 750,Somerset,5540,Watchung Boro,156,60|63,0.008,30,14|63,0.002,34,18|63,0.002
C. K-8 / 401 - 750,Sussex,90,Andover Reg,160,61|63,0.008,78,45|63,0.004,23,9|63,87E-5
C. K-8 / 401 - 750,Sussex,1560,Frankford Twp,15,5|63,76E-5,28,12|63,0.001,21,7|63,0.001
C. K-8 / 401 - 750,Sussex,1570,Franklin Boro,40,24|63,0.002,58,36|63,0.003,69,43|63,0.003
C. K-8 / 401 - 750,Sussex,2030,Hardyston Twp,48,32|63,0.003,26,11|63,0.002,31,15|63,0.002
C. K-8 / 401 - 750,Union,3470,Mountainside Boro,33,19|63,0.002,30,14|63,0.002,44,27|63,0.003
C. K-8 / 401 - 750,Warren,30,Allamuchy Twp,108,53|63,0.007,180,61|63,0.011,116,61|63,0.007
C. K-8 / 401 - 750,Warren,1785,Great Meadows Regional,53,35|63,0.003,57,35|63,0.003,43,24|63,0.002
C. K-8 / 401 - 750,Warren,1840,Greenwich Twp,22,10|63,0.002,21,5|63,0.001,19,5|63,0.001
C. K-8 / 401 - 750,Warren,2790,Lopatcong Twp,27,13|63,0.002,76,44|63,0.006,98,54|63,0.006
D. K-8 / 751 +,Statewide,N.A.,1. State average - Operating Type K-8,47,N.A.,0.003,49,N.A.,0.003,50,N.A.,0.003
D. K-8 / 751 +,Statewide,N.A.,2. State median - Operating Type K-8,45,N.A.,0.003,49,N.A.,0.003,49,N.A.,0.002
D. K-8 / 751 +,Statewide,N.A.,5. State average - All operating types,44,N.A.,0.003,45,N.A.,0.003,48,N.A.,0.003
D. K-8 / 751 +,Statewide,N.A.,6. State median - All operating types,40,N.A.,0.002,41,N.A.,0.002,46,N.A.,0.003
D. K-8 / 751 +,Atlantic,10,Absecon City,84,66|73,0.006,176,73|73,0.013,355,73|73,0.022
D. K-8 / 751 +,Atlantic,1690,Galloway Twp,31,31|73,0.002,29,30|73,0.002,22,10|73,0.001
D. K-8 / 751 +,Atlantic,1940,Hamilton Twp,16,13|73,0.001,26,23|73,0.002,26,18|73,0.002
D. K-8 / 751 +,Atlantic,2680,Linwood City,153,72|73,0.01,91,69|73,0.006,92,69|73,0.005
D. K-8 / 751 +,Atlantic,3720,Northfield City,90,67|73,0.006,86,68|73,0.005,89,68|73,0.005
