GROUP,CONAME,DIST,DISTNAME,PP17,RK17,PCT17,SBA7,PP27,RK27,PCT27,SBB7,PP37,RK37,PCT37,SBC7
C. K-8 / 401 - 750,Bergen,2050,Harrington Park Boro,2407,40|67,0.122,0.709,2594,42|63,0.121,0.6908,2628,36|63,0.119,0.7089
C. K-8 / 401 - 750,Bergen,2200,Ho Ho Kus Boro,2550,43|67,0.16,0.9078,2662,46|63,0.162,0.9494,3189,47|63,0.172,0.9014
C. K-8 / 401 - 750,Bergen,3730,Northvale Boro,2336,38|67,0.143,0.7131,2604,43|63,0.147,0.6691,2930,42|63,0.153,0.7425
C. K-8 / 401 - 750,Bergen,3740,Norwood Boro,2428,41|67,0.165,0.8644,2362,34|63,0.164,0.869,2325,25|63,0.154,0.7954
C. K-8 / 401 - 750,Bergen,3850,Old Tappan Boro,2593,45|67,0.15,0.8969,2566,41|63,0.147,0.8876,3385,52|63,0.156,0.8679
C. K-8 / 401 - 750,Bergen,4470,Rochelle Park Twp,2156,30|67,0.13,0.7714,2720,49|63,0.155,0.8532,2994,43|63,0.155,0.854
C. K-8 / 401 - 750,Bergen,5880,Woodcliff Lake Boro,2891,55|67,0.145,0.8771,2829,51|63,0.14,0.8891,3109,46|63,0.141,0.832
C. K-8 / 401 - 750,Burlington,1250,Eastampton Twp,1871,20|67,0.126,0.8312,2025,25|63,0.14,0.8695,1978,14|63,0.128,0.8304
C. K-8 / 401 - 750,Burlington,1910,Hainesport Twp,1880,21|67,0.13,0.8031,1900,17|63,0.126,0.7135,2126,18|63,0.125,0.7504
C. K-8 / 401 - 750,Burlington,3070,Medford Lakes Boro,1778,12|67,0.132,0.8427,1934,19|63,0.131,0.8995,2202,19|63,0.127,0.8207
C. K-8 / 401 - 750,Burlington,4740,Shamong Twp,2274,35|67,0.139,0.9114,2431,37|63,0.145,0.9328,2720,40|63,0.138,0.9082
C. K-8 / 401 - 750,Burlington,4930,Southampton Township School District,1894,23|67,0.112,0.6772,1989,22|63,0.119,0.6894,2346,26|63,0.132,0.6906
C. K-8 / 401 - 750,Burlington,5130,Tabernacle Twp,2649,46|67,0.158,0.898,2655,45|63,0.158,0.9074,2531,33|63,0.139,0.8359
C. K-8 / 401 - 750,Camden,190,Barrington Boro,1830,17|67,0.122,0.8009,2247,32|63,0.134,0.9039,2545,34|63,0.137,0.7948
C. K-8 / 401 - 750,Camden,340,Berlin Twp,2323,37|67,0.14,0.8335,2008,24|63,0.122,0.7887,1523,4|63,0.114,0.7422
C. K-8 / 401 - 750,Camden,880,Clementon Boro,1274,2|67,0.092,0.5801,1493,3|63,0.107,0.7443,1462,3|63,0.097,0.5774
C. K-8 / 401 - 750,Camden,3110,Merchantville Boro,1386,3|67,0.11,0.9259,1475,2|63,0.117,0.9083,1646,5|63,0.103,0.8025
C. K-8 / 401 - 750,Camden,3420,Mount Ephraim Boro,1778,12|67,0.117,0.6905,1955,21|63,0.126,0.7586,2630,37|63,0.144,0.7261
