Group,Coname,Dist,Distname, EX121 , EX221 
C. K-8 / 401 - 750,Bergen,1070,Demarest Boro,"1,675,000","1,454,692"
C. K-8 / 401 - 750,Bergen,1380,Englewood Cliffs Boro, -   , -   
C. K-8 / 401 - 750,Bergen,2050,Harrington Park Boro,"217,640","470,856"
C. K-8 / 401 - 750,Bergen,2200,Ho Ho Kus Boro,"300,234","366,379"
C. K-8 / 401 - 750,Bergen,3730,Northvale Boro,"650,000","641,074"
C. K-8 / 401 - 750,Bergen,3740,Norwood Boro, -   , -   
C. K-8 / 401 - 750,Bergen,3850,Old Tappan Boro,"1,903,621","1,786,179"
C. K-8 / 401 - 750,Bergen,4470,Rochelle Park Twp,"250,000","250,000"
C. K-8 / 401 - 750,Bergen,5880,Woodcliff Lake Boro, -   , -   
C. K-8 / 401 - 750,Burlington,1030,Delanco Twp,"1,079,343","1,169,341"
C. K-8 / 401 - 750,Burlington,1250,Eastampton Twp, -   , -   
C. K-8 / 401 - 750,Burlington,1910,Hainesport Twp,"377,141","403,000"
C. K-8 / 401 - 750,Burlington,3070,Medford Lakes Boro,"271,230","350,851"
C. K-8 / 401 - 750,Burlington,4740,Shamong Twp,"790,000","790,000"
C. K-8 / 401 - 750,Burlington,4930,Southampton Twp,"206,277","150,000"
C. K-8 / 401 - 750,Burlington,5130,Tabernacle Twp,"750,000","700,000"
C. K-8 / 401 - 750,Camden,190,Barrington Boro, -   , -   
C. K-8 / 401 - 750,Camden,340,Berlin Twp,"437,418","181,438"
C. K-8 / 401 - 750,Camden,880,Clementon Boro,"1,035,829","180,837"
C. K-8 / 401 - 750,Camden,3110,Merchantville Boro,"858,195","884,757"
C. K-8 / 401 - 750,Camden,3420,Mount Ephraim Boro,"471,407","500,000"
C. K-8 / 401 - 750,Camden,4790,Somerdale Boro,"316,043","321,229"
C. K-8 / 401 - 750,Cape May,1080,Dennis Twp,"330,691","373,899"
C. K-8 / 401 - 750,Cumberland,950,Commercial Twp,"494,604","497,799"
C. K-8 / 401 - 750,Cumberland,1460,Fairfield Twp,"263,184", -   
C. K-8 / 401 - 750,Cumberland,2270,Hopewell Twp,"229,616","548,168"
C. K-8 / 401 - 750,Cumberland,2570,Lawrence Twp,"235,324","232,534"
C. K-8 / 401 - 750,Cumberland,3050,Maurice River Twp, -   ,"10,765"
C. K-8 / 401 - 750,Gloucester,1830,Greenwich Twp,"715,604","221,634"
C. K-8 / 401 - 750,Hunterdon,20,Alexandria Twp,"161,158","2,814"
C. K-8 / 401 - 750,Hunterdon,2220,Holland Twp,"223,106","250,000"
C. K-8 / 401 - 750,Hunterdon,2600,Lebanon Twp,"820,066","820,937"
C. K-8 / 401 - 750,Hunterdon,5180,Tewksbury Twp,"693,245","350,000"
C. K-8 / 401 - 750,Hunterdon,5270,Union Twp,"276,440","197,437"
C. K-8 / 401 - 750,Middlesex,970,Cranbury Twp, -   , -   
