CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
Camden,5900,Woodlynne Boro,11755555,553,21262,14,11331830,550,20623,10,"I. K-12|K-8,0-400",IK-12K-80-400
Camden,6086,Hope Community Cs,2940253,153,19192,64,2782542,118,23661,86,O. Charter,OCharter
Camden,6107,Camden’s Promise Charter,38609629,2161,17868,44,39478316,2183,18086,51,O. Charter,OCharter
Camden,6232,Eco Charter School,4623493,185,24938,88,4033898,202,19970,72,O. Charter,OCharter
Camden,6240,Freedom Prep Charter Sch,16717846,867,19278,65,15094575,838,18008,50,O. Charter,OCharter
Camden,7109,Leap Academy University,27135372,1504,18042,47,26544426,1521,17450,45,O. Charter,OCharter
Cape May,170,Avalon Boro,5184521,104,50025,81,4626501,103,44811,81,"I. K-12|K-8,0-400",IK-12K-80-400
Cape May,710,Cape May City,4866935,153,31765,55,4791443,150,32038,55,A. K-6|K-6,AK-6K-6
Cape May,715,Cape May Co Special Serv,14518587,229,63354,3,14936738,233,64204,3,P. CSSD,PCSSD
Cape May,720,Cape May Co Vocational,18155843,632,28708,17,18028173,633,28463,17,Q. County Voc,QCountyVoc
Cape May,730,Cape May Point,94283,4,23571,10,79570,3,26523,12,K-12|Non-Operating,
Cape May,1080,Dennis Twp,19875524,652,30507,60,19154205,744,25744,49,"J. K-12|K-8,401-750",JK-12K-8401-750
Cape May,2820,Lower Cape May Regional,38590766,1310,29461,34,36046330,1308,27559,25,"F. G7-12|7-12,9-12",FG7-127-129-12
Cape May,2840,Lower Twp,34800440,1736,20044,19,33931551,1635,20749,22,A. K-6|K-6,AK-6K-6
Cape May,3130,Middle Twp,56426781,2555,22087,43,56221826,2608,21559,31,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Cape May,3680,North Wildwood City,9590260,252,38063,79,9712796,246,39559,79,"I. K-12|K-8,0-400",IK-12K-80-400
Cape May,3780,Ocean City,53207568,2155,24696,59,51625285,2120,24347,55,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Cape May,4700,Sea Isle City,2025216,83,24400,11,2079432,82,25359,9,H. K-12|K-6,HK-12K-6
Cape May,5060,Stone Harbor Boro,3614215,114,31614,72,3471970,103,33612,73,"I. K-12|K-8,0-400",IK-12K-80-400
Cape May,5340,Upper Twp,38358373,1998,19202,11,40188654,1982,20274,21,"K. K-12|K-8,751+",KK-12K-8751plus
