GROUP,CONAME,DIST,DISTNAME,EX121,EX221
A. K-6,Ocean,5220,Tuckerton Boro,159043,0
A. K-6,Sussex,1630,Fredon Twp,250000,250000
A. K-6,Sussex,1980,Hampton Twp,635260,259681
A. K-6,Sussex,4650,Sandyston-Walpack Twp,342958,247794
A. K-6,Sussex,5040,Stillwater Twp,333470,335000
A. K-6,Warren,400,Blairstown Twp,0,0
A. K-6,Warren,1620,Franklin Twp,225107,328950
A. K-6,Warren,1670,Frelinghuysen Twp,55499,24472
A. K-6,Warren,2470,Knowlton Twp,426224,443279
A. K-6,Warren,2970,Mansfield Twp,0,0
A. K-6,Warren,5480,Washington Boro,663431,787730
A. K-6,Warren,5530,Washington Twp,0,0
B. K-8 / 0 - 400,Atlantic,570,Brigantine City,1000000,1167343
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,585250,360320
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,645294,688230
B. K-8 / 0 - 400,Atlantic,3020,Margate City,1426945,1841631
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,0,67217
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,688377,387923
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,0,0
B. K-8 / 0 - 400,Bergen,1380,Englewood Cliffs Boro,0,0
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,300000,528123
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,236730,131424
B. K-8 / 0 - 400,Burlington,380,Beverly City,24450,194869
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,1442116,688243
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,0,0
B. K-8 / 0 - 400,Burlington,4460,Riverton,25821,0
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,70000,194275
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,0,0
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,288100,129119
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,451586,977833
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,1819836,1020584
B. K-8 / 0 - 400,Camden,3110,Merchantville Boro,991941,990000
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,2569377,2436970
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,104099,0
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,581062,837958
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,86319,66007
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,660132,664119
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,264081,271104
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,516482,289269
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,255286,67655
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,278087,200010
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,0,0
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,55078,105128
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,1247021,728172
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,815624,754187
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,743750,689347
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,247239,184958
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,0,0
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,115398,113551
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,0,0
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,5049,50000
